text,category
Can I speak with a human agent please,general
My order was supposed to arrive three days ago,shipping
"Hi, what is your privacy policy regarding user data",general
I need a refund for the subscription I cancelled Please help.,billing
I need to change the email address on my account This is urgent.,account
I did not authorize this charge on my account,billing
Can I merge two accounts under one login,account
My package was marked returned to sender Please help.,shipping
Your API is returning a 403 forbidden response Please help.,technical
"Hi, my order has been stuck in processing for a week",shipping
I was charged twice for my order last week Please help.,billing
How do I export all my data from the platform,general
"Hi, my package was marked returned to sender",shipping
I would like to leave feedback about my experience This is urgent.,general
I would like to leave feedback about my experience Please help.,general
My package was marked returned to sender,shipping
Do you offer a student or nonprofit discount This is urgent.,general
The app crashes every time I open it This is urgent.,technical
"Hi, i did not authorize this charge on my account",billing
My account was locked and I do not know why Please help.,account
Can you send me a copy of my last invoice Please help.,billing
The tracking number shows delivered but I got nothing,shipping
Can I speak with a human agent please Please help.,general
The page is not loading and shows a 500 error,technical
I received the wrong item in my package,shipping
The mobile app is freezing on the home screen,technical
The page is not loading and shows a 500 error This is urgent.,technical
"Hi, the app crashes every time i open it",technical
"Hi, what are your support hours",general
"Hi, your api is returning a 403 forbidden response",technical
I cannot log in even with the correct password,technical
What are your support hours,general
"Hi, i want to update my billing address",account
"Hi, can i change the delivery address for my order",shipping
I forgot my password and cannot reset it,account
Your API is returning a 403 forbidden response This is urgent.,technical
What are your support hours Please help.,general
"Hi, do you offer a student or nonprofit discount",general
"Hi, i was charged twice for my order last week",billing
What is your privacy policy regarding user data,general
What are your support hours This is urgent.,general
"Hi, my account was locked and i do not know why",account
"Hi, why was my card declined when i tried to pay",billing
I have a suggestion for improving your product Please help.,general
I need to change the email address on my account,account
How long does standard shipping usually take Please help.,shipping
I need to change the email address on my account Please help.,account
"Hi, can i merge two accounts under one login",account
I want to update my billing address,account
I have a suggestion for improving your product,general
My order was supposed to arrive three days ago This is urgent.,shipping
My account was locked and I do not know why This is urgent.,account
"Hi, i cannot log in even with the correct password",technical
I did not receive the verification email Please help.,account
I keep getting an error when I try to upload a file,technical
"Hi, the page is not loading and shows a 500 error",technical
My invoice shows the wrong amount,billing
I keep getting an error when I try to upload a file Please help.,technical
Can I change the delivery address for my order This is urgent.,shipping
I forgot my password and cannot reset it This is urgent.,account
I received the wrong item in my package Please help.,shipping
I did not authorize this charge on my account Please help.,billing
"Hi, i keep getting an error when i try to upload a file",technical
How do I export all my data from the platform Please help.,general
"Hi, i received the wrong item in my package",shipping
The dashboard is not showing my data correctly This is urgent.,technical
How long does standard shipping usually take This is urgent.,shipping
"Hi, i did not receive the verification email",account
"Hi, how long does standard shipping usually take",shipping
Can I speak with a human agent please This is urgent.,general
"Hi, my order was supposed to arrive three days ago",shipping
I received the wrong item in my package This is urgent.,shipping
Do you offer a student or nonprofit discount Please help.,general
My order was supposed to arrive three days ago Please help.,shipping
I have a suggestion for improving your product This is urgent.,general
"Hi, i would like to leave feedback about my experience",general
"Hi, the tracking number shows delivered but i got nothing",shipping
"Hi, can i speak with a human agent please",general
My payment failed but money was deducted from my bank,billing
I want to update my billing address Please help.,account
"Hi, the dashboard is not showing my data correctly",technical
Can I merge two accounts under one login This is urgent.,account
I did not receive the verification email,account
The page is not loading and shows a 500 error Please help.,technical
What is your privacy policy regarding user data Please help.,general
"Hi, i need a refund for the subscription i cancelled",billing
Can I change the delivery address for my order,shipping
Why was my card declined when I tried to pay This is urgent.,billing
How do I delete my account and all my data,account
"Hi, i forgot my password and cannot reset it",account
My invoice shows the wrong amount Please help.,billing
I cannot log in even with the correct password Please help.,technical
I would like to leave feedback about my experience,general
The dashboard is not showing my data correctly,technical
The dashboard is not showing my data correctly Please help.,technical
Why was my card declined when I tried to pay,billing
Your API is returning a 403 forbidden response,technical
I need a refund for the subscription I cancelled This is urgent.,billing
Why was my card declined when I tried to pay Please help.,billing
How long does standard shipping usually take,shipping
My order has been stuck in processing for a week Please help.,shipping
My payment failed but money was deducted from my bank This is urgent.,billing
I did not authorize this charge on my account This is urgent.,billing
Do you offer a student or nonprofit discount,general
I keep getting an error when I try to upload a file This is urgent.,technical
"Hi, the mobile app is freezing on the home screen",technical
"Hi, i have a suggestion for improving your product",general
Can you send me a copy of my last invoice,billing
My order has been stuck in processing for a week This is urgent.,shipping
Can I change the delivery address for my order Please help.,shipping
I was charged twice for my order last week,billing
My package was marked returned to sender This is urgent.,shipping
"Hi, how do i export all my data from the platform",general
I want to update my billing address This is urgent.,account
How do I export all my data from the platform This is urgent.,general
What is your privacy policy regarding user data This is urgent.,general
The mobile app is freezing on the home screen Please help.,technical
How do I delete my account and all my data Please help.,account
The tracking number shows delivered but I got nothing Please help.,shipping
I did not receive the verification email This is urgent.,account
The tracking number shows delivered but I got nothing This is urgent.,shipping
My payment failed but money was deducted from my bank Please help.,billing
How do I delete my account and all my data This is urgent.,account
I was charged twice for my order last week This is urgent.,billing
Can I merge two accounts under one login Please help.,account
My account was locked and I do not know why,account
The app crashes every time I open it Please help.,technical
The mobile app is freezing on the home screen This is urgent.,technical
Can you send me a copy of my last invoice This is urgent.,billing
My invoice shows the wrong amount This is urgent.,billing
I need a refund for the subscription I cancelled,billing
My order has been stuck in processing for a week,shipping
"Hi, can you send me a copy of my last invoice",billing
"Hi, my payment failed but money was deducted from my bank",billing
I cannot log in even with the correct password This is urgent.,technical
I forgot my password and cannot reset it Please help.,account
"Hi, i need to change the email address on my account",account
"Hi, how do i delete my account and all my data",account
"Hi, my invoice shows the wrong amount",billing
The app crashes every time I open it,technical
